8,vns,tabustep,tabulinear,taburandom,annealing,genetic,hardfixing,localbranch
pr1002,266006,278014,281852,280709,281852,271524,267459,267560
a280,2579,2639,2681,2653,2822,2581,2617,2579
att48,33522,33522,33522,33522,34577,33522,33522,33522
att532,87340,91085,91807,91909,93939,88654,88119,88980
bier127,118282,118708,119160,119001,125039,118282,118559,118282
eil101,629,634,642,639,693,629,630,629
kroA150,26524,26722,26923,26907,28967,26524,26524,26479
kroA200,29368,29741,30053,29895,30053,29368,29383,29343
pr299,48224,49609,50225,49986,52410,48273,48330,48330
pr439,107281,109796,111153,111733,114770,107813,109441,109300
