Running genetic ./data/kroA200.tsp, time=1695306274
TIMECOST:1695306274 30051
TIMECOST:1695306275 29787
TIMECOST:1695306276 29647
TIMECOST:1695306277 29579
TIMECOST:1695306277 29566
TIMECOST:1695306279 29550
TIMECOST:1695306281 29543
TIMECOST:1695306282 29513
TIMECOST:1695306282 29502
TIMECOST:1695306285 29501
TIMECOST:1695306298 29497
TIMECOST:1695306299 29492
TIMECOST:1695306299 29485
TIMECOST:1695306312 29476
TIMECOST:1695306337 29416
TIMECOST:1695306337 29409
TIMECOST:1695306351 29383
TIMECOST:1695306371 29368
Solution cost: 29368
Solution plot: gnuplot ./plot/gnu/command6F14FFDA-A22E2EC2-FF64DDD-9EF9-E9AD9
